"코드
 번호",회사명,주가,시가총액,"총자산
 (억)","매출액
 (억)"
A004370,농심,"322,000","19,586","24,974","22,373"
A011780,금호석유,"103,500","31,534","46,247","49,455"
A030000,제일기획,"20,350","23,411","21,630","33,485"
A012450,한화테크윈,"34,100","17,937","57,765","38,476"
A036490,SK머티리얼즈,"173,100","18,258","10,423","4,960"
A010620,현대미포조선,"111,500","22,300","86,233","36,375"
A042670,두산인프라코어,"11,400","23,712","97,069","62,951"
A034020,두산중공업,"16,150","17,194","225,115","147,910"
A006360,GS건설,"30,500","21,861","135,476","116,311"
A000080,하이트진로,"23,300","16,341","33,433","19,240"
A000240,한국타이어월드와이드,"19,750","18,371","31,823","8,296"
A051600,한전KPS,"40,650","18,293","11,752","12,646"
A011210,현대위아,"62,100","16,888","72,965","74,874"
A267270,현대건설기계,"204,000","20,148","15,868","12,577"
A120110,코오롱인더,"80,700","20,701","53,519","46,004"
A005250,녹십자홀딩스,"40,950","19,258","18,549","14,792"
A145020,휴젤,"578,100","24,903","7,909","1,698"
A034230,파라다이스,"24,300","22,099","21,635","6,521"
A161890,한국콜마,"91,900","19,395","6,603","7,883"
A071840,롯데하이마트,"77,200","18,225","31,566","41,224"
A010120,LS산전,"70,000","21,000","22,965","24,025"
A139130,DGB금융지주,"12,100","20,467","575,535","17,934"
A003670,포스코켐텍,"49,400","29,181","7,773","11,972"
A003520,영진약품,"9,980","18,253","2,060","1,950"
A114090,GKL,"31,000","19,175","7,254","5,223"
A006650,대한유화,"317,000","20,605","20,073","16,209"
A078340,컴투스,"159,100","20,470","8,035","5,086"
A079550,LIG넥스원,"58,900","12,958","19,762","19,175"
A006120,SK디스커버리,"49,350","5,322","58,438","76,879"
A005300,롯데칠성,"1,565,000","12,510","47,259","24,135"
A001740,SK네트웍스,"6,540","16,231","78,364","205,152"
A263750,펄어비스,"269,600","32,531","2,952","1,077"
A039490,키움증권,"111,500","24,641","110,204","5,300"
A003410,쌍용양회,"21,700","21,868","34,610","21,584"
A111770,영원무역,"32,650","14,468","22,973","20,278"
A046890,서울반도체,"25,850","15,072","11,920","10,692"
A005440,현대그린푸드,"16,250","15,877","21,684","24,871"
A020150,일진머티리얼즈,"39,400","18,124","6,492","4,370"
A011790,SKC,"44,450","16,684","35,535","25,850"
A064350,현대로템,"17,300","14,705","39,068","28,288"
A057050,현대홈쇼핑,"121,500","14,580","19,518","10,388"
A192400,쿠쿠홀딩스,"97,400","5,178","7,512","7,346"
A214320,이노션,"71,000","14,200","15,937","11,387"
A056190,에스에프에이,"39,550","14,202","14,961","20,094"
A079160,CJ CGV,"79,700","16,866","19,803","16,416"
A103140,풍산,"51,000","14,292","27,975","29,132"
A240810,원익IPS,"35,350","14,590","3,999","6,369"
A192820,코스맥스,"134,000","13,466","7,400","8,596"
A028150,GS홈쇼핑,"223,500","14,667","14,237","11,000"
A011200,현대상선,"4,620","14,405","34,377","51,116"
A017800,현대엘리베이,"61,700","15,198","22,093","20,150"
A082640,동양생명,"7,730","12,473","297,978","53,179"
A051370,인터플렉스,"32,000","7,465","5,669","6,344"
A003690,코리안리,"11,850","14,264","99,535","70,474"
A181710,NHN엔터테인먼트,"82,100","16,063","17,663","9,061"
A069620,대웅제약,"171,000","19,813","10,773","9,597"
A003240,태광산업,"1,429,000","15,910","35,928","28,335"
A180640,한진칼,"22,800","13,491","22,896","10,903"
A151910,나노스,"1,875","9,203","1,036",315
A002350,넥센타이어,"12,650","12,355","27,794","19,646"
A014820,동원시스템즈,"53,800","13,783","11,122","13,089"
A035760,CJ오쇼핑,"226,000","14,047","24,226","22,200"
A115390,락앤락,"28,150","15,483","7,334","4,181"
A005610,SPC삼립,"158,000","13,634","7,047","20,822"
A267260,현대일렉트릭,"121,500","12,400","19,672","9,602"
A001430,세아베스틸,"31,250","11,207","35,275","29,351"
A102940,코오롱생명과학,"108,000","12,325","3,367","1,467"
A039030,이오테크닉스,"95,300","11,703","4,350","4,247"
A039130,하나투어,"116,500","13,533","5,579","6,477"
A036830,솔브레인,"64,200","11,170","8,422","7,576"
A001120,LG상사,"30,700","11,899","52,836","125,489"
A003380,제일홀딩스,"18,000","12,729","58,673","68,435"
A001440,대한전선,"1,370","11,734","12,635","15,297"
A004000,롯데정밀화학,"72,400","18,679","16,105","11,595"
A178920,SKC코오롱PI,"43,550","12,789","3,343","1,978"
A022100,포스코 ICT,"9,280","14,109","6,060","9,506"
A105630,한세실업,"28,400","11,360","11,502","17,250"
A185750,종근당,"151,000","14,208","6,658","8,600"
A001230,동국제강,"12,050","11,500","61,993","58,905"
A068760,셀트리온제약,"97,400","33,122","5,133","1,293"
A010780,아이에스동서,37950,11698.95,22335,19426.73
